编号|汉语|英语
KTitle|HumaBlot 72FA 全自动免疫印迹仪|HumaBlot 72FA
K1001|欢迎登录|Welcome
KCampany|北京胡曼智造科技有限责任公司|Beijing HumaDX Tech Co., Ltd.
KVersion|版本：V1.0.0.7 alpha   @2024/5/7|Version: V1.0.0.7 alpha  @April 7, 2024
K1249|软件完整版本：V1.0.0.7|Full software version: V1.0.0.7
K1002|立刻登录|Sign in
K1003|    退出|    Exit
K1004|用户名|User name
KPassword|密码|Password
K1005|    关闭蜂鸣器|    Turn off buzzer
K1006|    打开键盘|        Show keyboard
K1007|孵育盘:|Incubation plate:
K1007|管理员：|Administrator:
K1008|日期时间：|Date:
K1009|欢迎标题|Welcome title
K1010|管理员|Administrator
K1011|工程师|Engineer
K1012|普通用户|user
K1013|追求诊断之臻|Make diagnostics better
K1014|样本信息录入|Sample information entry
K1015|膜条管理|Strip management
K1016|试剂管理|Reagent management
K1017|报告查询|Report query
K1018|用户管理|User management
K1019|退出登录|Logout
K1020|系统设置|System settings
K1021|LIS设置|LIS Setting
K1022|判读规则设置|Judgment rule settings
K1023|开机自检|Startup self-checking
K1024|系统管路清洗|System pipeline cleaning
K1025|管路回流|Pipeline backflow
K1026|管路清洗|Pipeline cleaning
K1027|泵自动校准|Automatic pump calibration
K1028|泵手动校准|Manual pump calibration
K1029|液位探测测试|Liquid level detection test
K1030|周维护|Weekly maintenance
K1031|月维护|Monthly maintenance
K1032|相机设置|Camera setting
K1033|新泵磨合|New pump running-in
K1034|手动孵育|Manual incubation
K1035|关于软件|About the software
K1036|操作日志查询|Operation log query
K1037|工作列表|Task list
K1038|    保存|       Save
K1039|    删除|       Delete
K1040|   LIS获取|   LIS acquisition
K1041|  复孔|             Multiple holes
K1042|厂家名称|Name of manufacturer
K1043|扫码位置|Position of code scanning
K1044|批量添加|Add in batch
K1045|Scan|Scan
K1046|下一步|Next
K1047|上一步|Back
K1048|位置|Position
K1049|样本编号|Sample No.
K1050|试管型号|Sample tube model
K1051|病人姓名|Patient name
K1052|性别|Gender
K1053|年龄|Age
K1054|序号|Serial Number
K1055|      膜条起始位置设置|      Strip start position setting
K1056|托盘位置|Tray position
K1057|开始位置|Start position
K1058|确  定|OK
K1059|串口联接失败|Serial port connection failed
K1060|设备联接成功|Device connected successfully
K1061|设备就绪状态|Device ready status
K1062|设备运行状态|Device operation status
K1063|设备初始化状态|Device initial status
K1064|设备运行错误状态|Device operation error status
K1065|膜条预订位|Reserved strip position
K1066|样本编号|Sample No.
K1067|检测|Test
K1068|样本位|Sample position
K1069|批号|Batch No.
K1070|实验列表|Experiment list
K1071|试剂准备|Reagent preparation
K1072|测试运行|Test run
K1073|试剂准备|Reagent preparation
K1074|检测前准备|Preparation before test
K1075|总用量：|Total usage:
K1076|系统液灌注|System liquid perfusion
K1077|灌注系统液体！|Fill the system liquid!
K1078|系统液管路充灌|Fill the system liquid pipeline
K1079|跳过充灌|Skip filling
K1080|位置|Position
K1081|全选|Select all
K1082|灌注系统液体！<br/>状态:<b style=\"color:blue;\">已完成灌注</b>|Fill the system liquid! <br/>Status:<b style=\"color:blue;\">Filling completed</b>
K1083|灌注系统液体！<br/>状态:<b style=\"color:red;\">灌注失败</b>|Fill the system liquid! <br/>Status:<b style=\"color:red;\">Filling failed</b>
K1084|灌注系统液体！<br/>状态:<b style=\"color:blue;\">跳过灌注</b>|Fill the system liquid! <br/>Status:<b style=\"color:blue;\">Skip filling</b>
K1085|总用量|Total usage
K1086|待测状态|Ready for test
K1087|步骤|Step
K1088|提示信息|Prompt information
K1089|提示描述信息|Prompt description information
K1090|略去用盖子保护|Skip the protection with cover
K1091|当前进度|Current progress
K1092|步骤结束时间  |Step end time  
K1093|暂停时间  |Time out  
K1094|方案总共用时  |Total protocol time  
K1095|预期完成时间  |Estimated completion time  
K1096|显示  |Display  
K1097|步骤  |Step  
K1098|膜条厂家选择  |Select strip manufacturers  
K1099|公司名称  |Company name  
K1100|膜条名称：|Strip name  
K1101|货号：|Item No. 
K1102|排序|Ranking
K1103|是否启用|Enable or not
K1104|启用|Enable
K1105|不启用|Not enabled
K1106|导入|Import
K1107|导出|Export
K1108|追加|Add
K1109|修改|Modify
K1110|检索测试膜条厂家失败！|Failed to retrieve the test strip manufacturer!
K1111|错误|Error
K1112|膜条参数|Strip parameters
K1113|欢迎界面|Welcome interface
K1114|选择|Select
K1115|设置|Settings
K1116|CutOff线阈值|Cutoff line threshold
K1117|是否有CutOff线|Cutoff line available?
K1118|功能线阈值：|Function line threshold:
K1119|功能条位置：|Function bar location:
K1120|是否有功能线|Function line available?
K1121|颜色值：|Color value
K1122|毫米对应像素：|Corresponding millimeter pixel
K1123|计算区间：|calculation interval
K1124|降噪阈值：|Threshold
K1125|次数：|Time(s)
K1126|膜条头：|Strip head
K1127|分析区百分比：|Percentage of analysis area
K1128|膜条总长度：|Total strip length
K1129|项目数量：|Number of items：
K1130|像素|Pixel
K1131|项目名称：|Item name
K1132|空白|Blank
K1133|判读规制|Judgment rules
K1134|取消|Cancel
K1135|试剂厂家选择|Select reagent manufacturers
K1136|试剂名称|Reagent name
K1137|泵的分配|Pump distribution
K1138|大充灌量|Large filling volume
K1139|小充灌量|Small filling volume
K1140|删除|Delete
K1141|保存|Save
K1142|防挂滴|Prevent suspended drops
K1143|试剂回流|Reagent backflow
K1144|运行前灌装|Filling before operation
K1145|关联膜条|Correlate with strips
K1146|传输|Transfer
K1147|概述报告打印|Print overview report
K1148|单页报告打印|Printing single-page report
K1149|单页保存PDF|Save single page as PDF
K1150|概述保存PDF|Save overview as PDF
K1151|开始时间|Start time
K1152|结束时间|End time
K1153|膜条选择|Select strip
K1154|查询|Query
K1155|当天结果|Today's results
K1156|是否选中|Select or not
K1157|测试编号|Test No.
K1158|检测类型|Test type
K1159|子检测|Subtest
K1160|图像|Image
K1161|LIS状态|LIS status
